Frame	Occidentary	Time	Encounter Slot	PID	!!!	Nature	Ability	HP	Atk	Def	SpA	SpD	Spe	Hidden	Power	50% F	12.5%F	25% F	75% F	
123050	123057	34:10.83	0	189EB7A3		Impish	1	12	25	7	30	5	3	Grass	47	M	M	M	F	
123051	123088	34:10.85	2	C746623D		Adamant	1	0	25	23	12	11	3	Grass	57	F	M	F	F	
123052	123105	34:10.86	2	11704E99		Hardy	1	2	10	11	17	26	30	Rock	59	M	M	M	F	
123053	123138	34:10.88	0	75F5C050		Quirky	0	22	28	16	27	11	25	Ice	61	F	M	M	F	
123054	123059	34:10.90	1	17C31F2C		Bashful	0	8	3	29	14	3	30	Water	66	F	M	F	F	
123055	123066	34:10.91	1	969F00D4		Hasty	0	4	24	27	9	19	10	Psychic	57	M	M	M	M	
123056	123103	34:10.93	1	944688F8		Brave	0	25	20	19	11	4	16	Bug	42	M	M	M	M	
123057	123146	34:10.95	0	9F87EEAD		Bold	1	17	13	17	8	7	18	Water	55	M	M	M	F	
123058	123133	34:10.96	0	38AB601E		Impish	0	5	2	20	14	1	31	Water	46	F	F	F	F	
123059	123194	34:10.98	2	FCE6E390		Bashful	0	11	21	27	7	27	12	Ice	63	M	M	M	F	
123060	123105	34:11.00	2	11704E99		Hardy	1	2	10	11	17	26	30	Rock	59	M	M	M	F	
123061	123138	34:11.01	1	75F5C050		Quirky	0	22	28	16	27	11	25	Ice	61	F	M	M	F	
123062	123071	34:11.03	1	BF19C025		Calm	1	21	1	24	15	1	9	Dragon	40	F	M	F	F	
123063	123164	34:11.05	4	C485BAFB		Mild	1	14	29	6	30	9	19	Grass	48	M	M	M	M	
123064	123107	34:11.06	1	EA3E2D42		Serious	0	15	6	15	23	2	11	Ghost	70	F	M	M	F	
123065	123100	34:11.08	1	E12CE4CF		Lax	1	3	8	2	7	2	24	Rock	63	M	M	M	M	
123066	123071	34:11.10	0	BF19C025		Calm	1	21	1	24	15	1	9	Dragon	40	F	M	F	F	
123067	123080	34:11.11	1	CC4F9E94		Naughty	0	3	21	11	13	31	10	Ice	58	M	M	M	F	
123068	123167	34:11.13	0	160CA7D3		Sassy	1	0	2	16	7	1	15	Ice	46	M	M	M	M	
123069	123096	34:11.15	1	DA854C52		Naive	0	13	26	11	6	15	29	Grass	64	F	M	M	F	
123070	123095	34:11.16	1	4C527D03		Gentle	1	5	20	22	26	11	13	Water	63	F	F	F	F	
123071	123162	34:11.18	2	48B80943		Sassy	1	27	23	14	4	17	5	Grass	34	F	M	M	F	
123072	123289	34:11.20	0	A49B1CA6		Jolly	0	16	14	15	0	9	3	Grass	38	M	M	M	F	
123073	123080	34:11.21	3	CC4F9E94		Naughty	0	3	21	11	13	31	10	Ice	58	M	M	M	F	
123074	123079	34:11.23	0	9E9414F1		Quiet	1	15	2	19	21	11	3	Dragon	59	M	M	M	M	
123075	123088	34:11.25	0	C746623D		Adamant	1	0	25	23	12	11	3	Grass	57	F	M	F	F	
123076	123099	34:11.26	1	E4CF3CDD		Docile	1	12	9	24	8	2	3	Poison	55	M	M	M	M	
123077	123090	34:11.28	1	AD835F20		Hasty	0	21	4	30	6	24	28	Fighting	42	F	M	F	F	
123078	123095	34:11.30	0	4C527D03		Gentle	1	5	20	22	26	11	13	Water	63	F	F	F	F	
123079	123088	34:11.31	1	C746623D		Adamant	1	0	25	23	12	11	3	Grass	57	F	M	F	F	
123080	123119	34:11.33	3	649B68CB		Relaxed	1	13	17	18	26	11	6	Fire	68	M	M	M	M	
123081	123112	34:11.35	0	EBB45940		Jolly	0	31	4	18	20	0	2	Fighting	38	F	M	M	F	
123082	123165	34:11.36	0	1BAEC485		Bold	1	19	30	9	16	5	12	Fire	31	M	M	M	F	
123083	123120	34:11.38	0	CA2D649B		Relaxed	1	6	26	11	25	17	16	Psychic	34	M	M	M	F	
123084	123193	34:11.40	0	E3902280		Careful	0	6	7	31	21	27	11	Dragon	59	M	M	M	F	
123085	123226	34:11.41	2	CAF431F2		Brave	0	1	29	18	30	6	24	Fighting	63	M	M	M	M	
123086	123187	34:11.43	1	A4C871AC		Quirky	0	4	31	5	28	0	5	Ground	31	M	M	M	F	
123087	123096	34:11.45	1	DA854C52		Naive	0	13	26	11	6	15	29	Grass	64	F	M	M	F	
123088	123103	34:11.46	1	944688F8		Brave	0	25	20	19	11	4	16	Bug	42	M	M	M	M	
123089	123132	34:11.48	0	601E18EA		Rash	0	11	5	14	2	20	5	Poison	43	M	M	M	M	
123090	123101	34:11.50	1	8903E12C		Rash	0	24	7	2	2	5	6	Fire	49	F	M	F	F	
123091	123096	34:11.51	0	DA854C52		Naive	0	13	26	11	6	15	29	Grass	64	F	M	M	F	
123092	123119	34:11.53	1	649B68CB		Relaxed	1	13	17	18	26	11	6	Fire	68	M	M	M	M	
123093	123108	34:11.55	1	3CCFEA3E		Adamant	0	11	23	2	13	16	16	Rock	34	F	M	F	F	
123094	123289	34:11.56	2	A49B1CA6		Jolly	0	16	14	15	0	9	3	Grass	38	M	M	M	F	
123095	123164	34:11.58	0	C485BAFB		Mild	1	14	29	6	30	9	19	Grass	48	M	M	M	M	
123096	123131	34:11.60	0	18EAA123		Lax	1	30	0	24	5	14	11	Bug	56	F	M	F	F	
123097	123116	34:11.61	1	DCF783D0		Docile	0	2	21	1	6	26	11	Ground	66	M	M	M	M	
123098	123105	34:11.63	0	11704E99		Hardy	1	2	10	11	17	26	30	Rock	59	M	M	M	F	
123099	123132	34:11.65	2	601E18EA		Rash	0	11	5	14	2	20	5	Poison	43	M	M	M	M	
123100	123105	34:11.66	1	11704E99		Hardy	1	2	10	11	17	26	30	Rock	59	M	M	M	F	
123101	123104	34:11.68	1	4E999446		Naive	0	16	11	4	10	11	2	Fire	66	F	M	M	F	
123102	123133	34:11.70	1	38AB601E		Impish	0	5	2	20	14	1	31	Water	46	F	F	F	F	
123103	123134	34:11.71	1	504538AB		Gentle	1	31	14	1	2	4	4	Flying	42	M	M	M	F	
123104	123125	34:11.73	1	A1AFD93D		Naive	1	15	23	27	3	15	4	Ice	64	F	M	F	F	
123105	123124	34:11.75	0	D93DC5EC		Hasty	0	15	13	8	23	27	15	Dragon	66	M	M	M	M	
123106	123113	34:11.76	1	489FEBB4		Mild	0	2	20	0	30	0	16	Fighting	40	M	M	M	F	
123107	123210	34:11.78	2	833490A0		Quiet	0	27	23	10	20	21	1	Grass	34	M	M	M	F	
123108	123289	34:11.80	1	A49B1CA6		Jolly	0	16	14	15	0	9	3	Grass	38	M	M	M	F	
123109	123236	34:11.81	1	0FEAEE43		Lax	1	14	21	5	15	23	11	Dragon	66	F	M	M	F	
123110	123193	34:11.83	1	E3902280		Careful	0	6	7	31	21	27	11	Dragon	59	M	M	M	F	
123111	123224	34:11.85	2	699A9435		Modest	1	18	15	12	23	18	20	Rock	62	F	M	F	F	
123112	123137	34:11.86	1	C0501044		Mild	0	21	15	29	28	16	22	Flying	36	F	M	M	F	
123113	123210	34:11.88	1	833490A0		Quiet	0	27	23	10	20	21	1	Grass	34	M	M	M	F	
123114	123129	34:11.90	2	4DA5B2FE		Rash	0	3	9	8	7	6	10	Rock	66	M	M	M	M	
123115	123210	34:11.91	1	833490A0		Quiet	0	27	23	10	20	21	1	Grass	34	M	M	M	F	
123116	123137	34:11.93	1	C0501044		Mild	0	21	15	29	28	16	22	Flying	36	F	M	M	F	
123117	123226	34:11.95	1	CAF431F2		Brave	0	1	29	18	30	6	24	Fighting	63	M	M	M	M	
123118	123165	34:11.96	1	1BAEC485		Bold	1	19	30	9	16	5	12	Fire	31	M	M	M	F	
123119	123136	34:11.98	0	104405DF		Relaxed	1	16	2	16	15	29	21	Ice	41	M	M	M	M	
123120	123285	34:12.00	1	65ED3795		Brave	1	11	29	25	10	17	18	Water	45	M	M	M	F	
123121	123210	34:12.01	1	833490A0		Quiet	0	27	23	10	20	21	1	Grass	34	M	M	M	F	
123122	123155	34:12.03	0	0270B07B		Bashful	1	18	24	11	15	23	6	Psychic	68	F	M	M	F	
123123	123130	34:12.05	2	A1234DA5		Jolly	1	10	7	6	0	24	30	Fighting	39	M	M	M	F	
123124	123137	34:12.06	1	C0501044		Mild	0	21	15	29	28	16	22	Flying	36	F	M	M	F	
123125	123210	34:12.08	0	833490A0		Quiet	0	27	23	10	20	21	1	Grass	34	M	M	M	F	
123126	123161	34:12.10	2	0943F3A4		Adamant	0	24	5	18	23	14	27	Ghost	68	M	M	M	F	
123127	123162	34:12.11	1	48B80943		Sassy	1	27	23	14	4	17	5	Grass	34	F	M	M	F	
123128	123285	34:12.13	0	65ED3795		Brave	1	11	29	25	10	17	18	Water	45	M	M	M	F	
123129	123148	34:12.15	0	9D1245B1		Lonely	1	27	25	1	13	26	31	Steel	56	M	M	M	F	
123130	123161	34:12.16	1	0943F3A4		Adamant	0	24	5	18	23	14	27	Ghost	68	M	M	M	F	
123131	123158	34:12.18	1	F44A5DE6		Docile	0	0	13	10	29	28	4	Rock	32	M	M	M	M	
123132	123135	34:12.20	1	05DF5045		Relaxed	1	4	2	4	2	16	16	Fighting	41	F	M	M	F	
123133	123138	34:12.21	0	75F5C050		Quirky	0	22	28	16	27	11	25	Ice	61	F	M	M	F	
123134	123161	34:12.23	0	0943F3A4		Adamant	0	24	5	18	23	14	27	Ghost	68	M	M	M	F	
123135	123142	34:12.25	1	80FA2DC4		Naive	0	2	0	14	14	27	3	Water	68	M	M	M	M	
123136	123229	34:12.26	0	4F669BD8		Relaxed	0	18	22	24	22	7	1	Water	62	M	M	M	M	
123137	123162	34:12.28	1	48B80943		Sassy	1	27	23	14	4	17	5	Grass	34	F	M	M	F	
123138	123285	34:12.30	0	65ED3795		Brave	1	11	29	25	10	17	18	Water	45	M	M	M	F	
123139	123192	34:12.31	3	2280CD2E		Adamant	0	16	28	24	7	31	6	Electric	65	F	M	F	F	
123140	123169	34:12.33	0	04EF4040		Mild	0	10	15	30	7	22	15	Ghost	70	F	M	M	F	
123141	123194	34:12.35	1	FCE6E390		Bashful	0	11	21	27	7	27	12	Ice	63	M	M	M	F	
123142	123151	34:12.36	0	1DF8E9BF		Docile	1	0	11	2	11	4	25	Ghost	43	M	M	M	M	
123143	123156	34:12.38	0	2F120270		Quirky	0	6	15	23	2	29	10	Water	49	F	M	M	F	
123144	123205	34:12.40	0	64BDBF7E		Lonely	0	16	18	17	19	4	8	Rock	41	F	M	M	F	
123145	123182	34:12.41	4	555930A2		Naive	0	30	19	26	15	28	5	Ghost	44	M	M	M	F	
123146	123169	34:12.43	0	04EF4040		Mild	0	10	15	30	7	22	15	Ghost	70	F	M	M	F	
123147	123154	34:12.45	0	B07B9179		Timid	1	16	19	0	24	11	18	Fire	56	F	M	M	F	
123148	123153	34:12.46	1	91798960		Rash	0	27	3	12	19	0	16	Rock	42	F	M	M	F	
123149	123182	34:12.48	0	555930A2		Naive	0	30	19	26	15	28	5	Ghost	44	M	M	M	F	
123150	123167	34:12.50	0	160CA7D3		Sassy	1	0	2	16	7	1	15	Ice	46	M	M	M	M	
123151	123194	34:12.51	0	FCE6E390		Bashful	0	11	21	27	7	27	12	Ice	63	M	M	M	F	
123152	123169	34:12.53	1	04EF4040		Mild	0	10	15	30	7	22	15	Ghost	70	F	M	M	F	
123153	123166	34:12.55	1	A7D31BAE		Naughty	0	12	16	5	2	16	0	Fighting	40	M	M	M	F	
123154	123187	34:12.56	1	A4C871AC		Quirky	0	4	31	5	28	0	5	Ground	31	M	M	M	F	
123155	123244	34:12.58	1	54E4FDB4		Hardy	0	0	12	30	28	19	26	Steel	57	M	M	M	F	
123156	123289	34:12.60	0	A49B1CA6		Jolly	0	16	14	15	0	9	3	Grass	38	M	M	M	F	
123157	123186	34:12.61	1	71ACE220		Jolly	0	8	6	9	31	5	4	Psychic	41	F	M	F	F	
123158	123179	34:12.63	0	88DC3C00		Docile	0	8	11	5	5	12	2	Bug	36	F	F	F	F	
123159	123162	34:12.65	0	48B80943		Sassy	1	27	23	14	4	17	5	Grass	34	F	M	M	F	
123160	123175	34:12.66	1	DA025597		Gentle	1	3	20	17	1	30	21	Ghost	50	M	M	M	F	
123161	123164	34:12.68	1	C485BAFB		Mild	1	14	29	6	30	9	19	Grass	48	M	M	M	M	
123162	123303	34:12.70	1	0D8C40EB		Quiet	1	20	8	2	9	20	29	Bug	32	M	M	M	M	
123163	123236	34:12.71	0	0FEAEE43		Lax	1	14	21	5	15	23	11	Dragon	66	F	M	M	F	
123164	123201	34:12.73	1	25B81D92		Hasty	0	9	27	24	23	6	16	Rock	61	M	M	M	F	
123165	123186	34:12.75	0	71ACE220		Jolly	0	8	6	9	31	5	4	Psychic	41	F	M	F	F	
123166	123219	34:12.76	2	979DD70B		Rash	1	27	9	11	11	24	23	Steel	48	F	F	F	F	
123167	123256	34:12.78	1	96F91FDF		Careful	1	19	14	7	1	1	10	Psychic	39	M	M	M	M	
123168	123289	34:12.80	1	A49B1CA6		Jolly	0	16	14	15	0	9	3	Grass	38	M	M	M	F	
123169	123192	34:12.81	1	2280CD2E		Adamant	0	16	28	24	7	31	6	Electric	65	F	M	F	F	
123170	123303	34:12.83	1	0D8C40EB		Quiet	1	20	8	2	9	20	29	Bug	32	M	M	M	M	
123171	123204	34:12.85	1	BF7E9AF0		Docile	0	29	5	25	18	17	16	Water	40	M	M	M	M	
123172	123203	34:12.86	1	9AF06369		Adamant	1	30	27	15	5	25	29	Dragon	34	F	M	M	F	
123173	123248	34:12.88	0	270C31A1		Hasty	1	11	3	25	7	28	0	Bug	42	M	M	M	F	
123174	123191	34:12.90	1	CD2ED1DC		Timid	0	0	20	8	28	24	16	Fighting	30	M	M	M	M	
123175	123312	34:12.91	0	A1E1AB43		Rash	1	7	11	10	24	21	13	Grass	34	F	M	M	F	
123176	123193	34:12.93	0	E3902280		Careful	0	6	7	31	21	27	11	Dragon	59	M	M	M	F	
123177	123228	34:12.95	0	9BD8CBA1		Timid	1	6	27	19	22	24	18	Flying	49	M	M	M	F	
123178	123201	34:12.96	1	25B81D92		Hasty	0	9	27	24	23	6	16	Rock	61	M	M	M	F	
123179	123268	34:12.98	1	2EA6AB8E		Bold	0	12	6	3	25	10	18	Rock	59	M	M	M	F	
123180	123227	34:13.00	0	CBA1CAF4		Hardy	0	24	30	6	27	19	6	Electric	69	M	M	M	M	
123181	123278	34:13.01	2	99D348C6		Quirky	0	14	4	26	13	0	28	Ground	33	M	M	M	M	
123182	123243	34:13.03	1	FDB4646D		Serious	1	4	7	21	12	30	0	Flying	51	F	M	M	F	
123183	123244	34:13.05	1	54E4FDB4		Hardy	0	0	12	30	28	19	26	Steel	57	M	M	M	F	
123184	123289	34:13.06	1	A49B1CA6		Jolly	0	16	14	15	0	9	3	Grass	38	M	M	M	F	
123185	123244	34:13.08	0	54E4FDB4		Hardy	0	0	12	30	28	19	26	Steel	57	M	M	M	F	
123186	123233	34:13.10	2	BD100B44		Lax	0	26	5	8	18	27	3	Grass	66	F	M	M	F	
123187	123236	34:13.11	0	0FEAEE43		Lax	1	14	21	5	15	23	11	Dragon	66	F	M	M	F	
123188	123219	34:13.13	2	979DD70B		Rash	1	27	9	11	11	24	23	Steel	48	F	F	F	F	
123189	123278	34:13.15	2	99D348C6		Quirky	0	14	4	26	13	0	28	Ground	33	M	M	M	M	
123190	123205	34:13.16	1	64BDBF7E		Lonely	0	16	18	17	19	4	8	Rock	41	F	M	M	F	
123191	123216	34:13.18	0	14C75A53		Relaxed	1	3	13	20	24	21	11	Grass	35	F	M	M	F	
123192	123213	34:13.20	0	7CC2D681		Docile	1	31	26	16	18	22	19	Poison	67	M	M	M	F	
123193	123210	34:13.21	0	833490A0		Quiet	0	27	23	10	20	21	1	Grass	34	M	M	M	F	
123194	123213	34:13.23	1	7CC2D681		Docile	1	31	26	16	18	22	19	Poison	67	M	M	M	F	
123195	123226	34:13.25	1	CAF431F2		Brave	0	1	29	18	30	6	24	Fighting	63	M	M	M	M	
123196	123285	34:13.26	0	65ED3795		Brave	1	11	29	25	10	17	18	Water	45	M	M	M	F	
123197	123208	34:13.28	1	0DFD9268		Gentle	0	0	5	4	25	0	20	Rock	30	F	M	M	F	
123198	123219	34:13.30	1	979DD70B		Rash	1	27	9	11	11	24	23	Steel	48	F	F	F	F	
123199	123202	34:13.31	1	636925B8		Calm	0	16	23	6	27	15	30	Electric	69	M	M	M	F	
123200	123213	34:13.33	1	7CC2D681		Docile	1	31	26	16	18	22	19	Poison	67	M	M	M	F	
123201	123278	34:13.35	1	99D348C6		Quirky	0	14	4	26	13	0	28	Ground	33	M	M	M	M	
123202	123259	34:13.36	1	5D87042A		Naive	0	20	30	29	31	14	11	Ghost	66	F	M	F	F	
123203	123232	34:13.38	1	0B441EC1		Sassy	1	16	8	15	5	8	26	Rock	37	M	M	M	M	
123204	123259	34:13.40	1	5D87042A		Naive	0	20	30	29	31	14	11	Ghost	66	F	M	F	F	
123205	123244	34:13.41	0	54E4FDB4		Hardy	0	0	12	30	28	19	26	Steel	57	M	M	M	F	
123206	123225	34:13.43	2	31F2699A		Bold	0	20	23	18	29	18	1	Ghost	54	M	M	M	F	
123207	123240	34:13.45	0	0038685B		Docile	1	21	26	13	3	25	13	Dragon	41	F	M	M	F	
123208	123295	34:13.46	2	CFA51835		Quirky	1	8	31	21	8	23	18	Water	56	F	M	F	F	
123209	123250	34:13.48	2	70E0646B		Jolly	1	23	12	14	4	27	30	Steel	58	F	M	M	F	
123210	123375	34:13.50	0	08A4663B		Adamant	1	4	21	22	2	25	21	Grass	42	F	M	F	F	
123211	123250	34:13.51	2	70E0646B		Jolly	1	23	12	14	4	27	30	Steel	58	F	M	M	F	
123212	123289	34:13.53	0	A49B1CA6		Jolly	0	16	14	15	0	9	3	Grass	38	M	M	M	F	
123213	123224	34:13.55	0	699A9435		Modest	1	18	15	12	23	18	20	Rock	62	F	M	F	F	
123214	123235	34:13.56	0	EE4320BA		Careful	0	10	31	3	21	5	14	Psychic	39	M	M	M	F	
123215	123312	34:13.58	0	A1E1AB43		Rash	1	7	11	10	24	21	13	Grass	34	F	M	M	F	
123216	123303	34:13.60	0	0D8C40EB		Quiet	1	20	8	2	9	20	29	Bug	32	M	M	M	M	
123217	123296	34:13.61	0	57E8CFA5		Lonely	1	18	8	23	31	8	19	Ghost	48	M	M	M	F	
123218	123289	34:13.63	1	A49B1CA6		Jolly	0	16	14	15	0	9	3	Grass	38	M	M	M	F	
123219	123238	34:13.65	1	5DEB16AE		Naughty	0	27	2	26	1	0	24	Rock	34	M	M	M	F	
123220	123245	34:13.66	0	798054E4		Lonely	0	26	28	19	13	12	1	Ghost	33	M	M	M	M	
123221	123242	34:13.68	1	646DB755		Relaxed	1	20	13	31	7	21	4	Psychic	42	F	M	M	F	
123222	123305	34:13.70	1	513D0914		Mild	0	11	16	1	28	15	22	Fire	56	F	F	F	F	
123223	123236	34:13.71	1	0FEAEE43		Lax	1	14	21	5	15	23	11	Dragon	66	F	M	M	F	
123224	123411	34:13.73	1	4F99D6CD		Hasty	1	1	15	8	20	19	9	Grass	51	M	M	M	M	
123225	123240	34:13.75	0	0038685B		Docile	1	21	26	13	3	25	13	Dragon	41	F	M	M	F	
123226	123277	34:13.76	2	48C6E91A		Naughty	0	19	14	6	4	26	14	Fighting	59	F	F	F	F	
123227	123284	34:13.78	1	37955D5E		Gentle	0	13	15	25	29	25	11	Dark	36	F	M	M	F	
123228	123245	34:13.80	0	798054E4		Lonely	0	26	28	19	13	12	1	Ghost	33	M	M	M	M	
123229	123274	34:13.81	3	12F23FBC		Mild	0	15	21	17	8	26	26	Flying	56	M	M	M	F	
123230	123235	34:13.83	0	EE4320BA		Careful	0	10	31	3	21	5	14	Psychic	39	M	M	M	F	
123231	123236	34:13.85	1	0FEAEE43		Lax	1	14	21	5	15	23	11	Dragon	66	F	M	M	F	
123232	123299	34:13.86	1	9F7B23F3		Hardy	1	27	25	27	0	18	0	Flying	53	M	M	M	M	
123233	123290	34:13.88	2	3DD0A49B		Adamant	1	3	0	9	27	2	6	Bug	66	M	M	M	F	
123234	123589	34:13.90	0	4316DA30		Calm	0	19	28	5	24	2	18	Flying	56	F	M	F	F	
123235	123278	34:13.91	1	99D348C6		Quirky	0	14	4	26	13	0	28	Ground	33	M	M	M	M	
123236	123291	34:13.93	3	A4033DD0		Docile	0	6	27	2	27	4	12	Rock	44	M	M	M	M	
123237	123348	34:13.95	1	EA62B8F2		Bashful	0	9	20	28	2	20	7	Poison	45	M	M	M	M	
123238	123253	34:13.96	0	DAA16C9E		Modest	0	4	6	15	30	7	31	Grass	69	M	M	M	F	
123239	123344	34:13.98	1	2880D9E7		Docile	1	12	3	2	31	5	20	Electric	43	M	M	M	M	
123240	123293	34:14.00	0	936C0B66		Impish	0	21	1	6	29	19	5	Dragon	52	F	M	M	F	
123241	123252	34:14.01	1	6C9E3997		Lax	1	1	21	22	6	15	4	Fire	63	M	M	M	F	
123242	123249	34:14.03	0	646B270C		Careful	0	0	7	28	12	14	23	Poison	56	F	F	F	F	
123243	123294	34:14.05	0	1835936C		Relaxed	0	5	29	19	31	21	8	Ice	42	F	M	M	F	
123244	123277	34:14.06	1	48C6E91A		Naughty	0	19	14	6	4	26	14	Fighting	59	F	F	F	F	
123245	123284	34:14.08	0	37955D5E		Gentle	0	13	15	25	29	25	11	Dark	36	F	M	M	F	
123246	123255	34:14.10	0	1FDF3CC4		Bold	0	25	23	5	14	7	19	Electric	66	M	M	M	M	
123247	123284	34:14.11	1	37955D5E		Gentle	0	13	15	25	29	25	11	Dark	36	F	M	M	F	
123248	123409	34:14.13	0	658AA152		Relaxed	0	13	22	21	28	19	25	Grass	51	F	M	M	F	
123249	123284	34:14.15	3	37955D5E		Gentle	0	13	15	25	29	25	11	Dark	36	F	M	M	F	
123250	123275	34:14.16	0	C6AF12F2		Bashful	0	26	8	26	6	18	6	Fighting	68	M	M	M	M	
123251	123344	34:14.18	3	2880D9E7		Docile	1	12	3	2	31	5	20	Electric	43	M	M	M	M	
123252	123283	34:14.20	1	5D5E9373		Rash	1	21	28	13	15	25	13	Dragon	40	F	M	M	F	
123253	123344	34:14.21	0	2880D9E7		Docile	1	12	3	2	31	5	20	Electric	43	M	M	M	M	
123254	123257	34:14.23	1	1DD396F9		Lax	1	10	1	1	12	23	7	Grass	56	M	M	M	M	
123255	123278	34:14.25	1	99D348C6		Quirky	0	14	4	26	13	0	28	Ground	33	M	M	M	M	
123256	123265	34:14.26	1	B961905E		Timid	0	5	1	25	28	10	14	Flying	55	F	M	M	F	
123257	123274	34:14.28	1	12F23FBC		Mild	0	15	21	17	8	26	26	Flying	56	M	M	M	F	
123258	123275	34:14.30	0	C6AF12F2		Bashful	0	26	8	26	6	18	6	Fighting	68	M	M	M	M	
123259	123296	34:14.31	1	57E8CFA5		Lonely	1	18	8	23	31	8	19	Ghost	48	M	M	M	F	
123260	123355	34:14.33	1	11605B8C		Naive	0	13	27	29	23	5	31	Dark	46	M	M	M	F	
123261	123352	34:14.35	1	2D083636		Hasty	0	28	3	7	28	22	12	Flying	54	F	M	F	F	
123262	123355	34:14.36	0	11605B8C		Naive	0	13	27	29	23	5	31	Dark	46	M	M	M	F	
123263	123320	34:14.38	0	10A88DB7		Impish	1	16	29	5	9	20	14	Bug	35	M	M	M	F	
123264	123409	34:14.40	2	658AA152		Relaxed	0	13	22	21	28	19	25	Grass	51	F	M	M	F	
123265	123366	34:14.41	1	A4D77547		Serious	1	20	22	4	10	4	21	Flying	41	F	M	M	F	
123266	123275	34:14.43	1	C6AF12F2		Bashful	0	26	8	26	6	18	6	Fighting	68	M	M	M	M	
123267	123282	34:14.45	0	9373F2DF		Quiet	1	30	10	23	28	13	21	Grass	34	M	M	M	M	
123268	123283	34:14.46	0	5D5E9373		Rash	1	21	28	13	15	25	13	Dragon	40	F	M	M	F	
123269	123296	34:14.48	1	57E8CFA5		Lonely	1	18	8	23	31	8	19	Ghost	48	M	M	M	F	
123270	123411	34:14.50	1	4F99D6CD		Hasty	1	1	15	8	20	19	9	Grass	51	M	M	M	M	
123271	123376	34:14.51	0	DAA408A4		Naughty	0	21	2	25	19	29	17	Dragon	41	M	M	M	F	
123272	123305	34:14.53	1	513D0914		Mild	0	11	16	1	28	15	22	Fire	56	F	F	F	F	
123273	123328	34:14.55	0	30E8350C		Hardy	0	12	20	15	19	6	10	Rock	68	F	F	F	F	
123274	123289	34:14.56	0	A49B1CA6		Jolly	0	16	14	15	0	9	3	Grass	38	M	M	M	F	
123275	123278	34:14.58	1	99D348C6		Quirky	0	14	4	26	13	0	28	Ground	33	M	M	M	M	
123276	123279	34:14.60	1	688E99D3		Bold	1	28	13	0	22	28	31	Poison	45	M	M	M	M	
123277	123376	34:14.61	1	DAA408A4		Naughty	0	21	2	25	19	29	17	Dragon	41	M	M	M	F	
123278	123305	34:14.63	0	513D0914		Mild	0	11	16	1	28	15	22	Fire	56	F	F	F	F	
123279	123366	34:14.65	1	A4D77547		Serious	1	20	22	4	10	4	21	Flying	41	F	M	M	F	
123280	123299	34:14.66	1	9F7B23F3		Hardy	1	27	25	27	0	18	0	Flying	53	M	M	M	M	
123281	123286	34:14.68	0	67AB65ED		Sassy	1	18	10	17	5	7	6	Psychic	57	M	M	M	M	
123282	123285	34:14.70	1	65ED3795		Brave	1	11	29	25	10	17	18	Water	45	M	M	M	F	
123283	123376	34:14.71	1	DAA408A4		Naughty	0	21	2	25	19	29	17	Dragon	41	M	M	M	F	
123284	123287	34:14.73	0	C55267AB		Bashful	1	6	5	7	4	9	27	Grass	38	M	M	M	F	
123285	123306	34:14.75	0	060B513D		Naive	1	22	28	15	29	19	10	Psychic	58	F	M	F	F	
123286	123355	34:14.76	2	11605B8C		Naive	0	13	27	29	23	5	31	Dark	46	M	M	M	F	
123287	123298	34:14.78	0	23F35D12		Lax	0	27	27	7	25	27	27	Dark	59	F	F	F	F	
123288	123355	34:14.80	0	11605B8C		Naive	0	13	27	29	23	5	31	Dark	46	M	M	M	F	
123289	123356	34:14.81	0	F76D1160		Quirky	0	31	23	5	17	25	28	Ice	31	F	M	M	F	
123290	123327	34:14.83	0	350CD7C0		Serious	0	8	7	12	20	15	12	Fire	51	M	M	M	M	
123291	123348	34:14.85	0	EA62B8F2		Bashful	0	9	20	28	2	20	7	Poison	45	M	M	M	M	
123292	123297	34:14.86	2	5D1257E8		Modest	0	19	31	8	27	7	27	Dragon	67	M	M	M	M	
123293	123358	34:14.88	0	663C96FF		Sassy	1	24	15	2	19	3	9	Ice	64	M	M	M	M	
123294	123409	34:14.90	1	658AA152		Relaxed	0	13	22	21	28	19	25	Grass	51	F	M	M	F	
123295	123376	34:14.91	3	DAA408A4		Naughty	0	21	2	25	19	29	17	Dragon	41	M	M	M	F	
123296	123371	34:14.93	1	EBC4EB19		Lonely	1	26	15	30	6	9	19	Grass	49	F	F	F	F	
123297	123426	34:14.95	0	089C21BA		Adamant	0	20	20	26	21	29	4	Electric	32	M	M	M	F	
123298	123309	34:14.96	0	207BCFAA		Brave	0	16	14	17	26	10	3	Poison	66	M	M	M	F	
123299	123328	34:14.98	0	30E8350C		Hardy	0	12	20	15	19	6	10	Rock	68	F	F	F	F	
123300	123325	34:15.00	0	D5D0C516		Hardy	0	0	30	21	8	13	12	Fire	31	F	F	F	F	
123301	123312	34:15.01	1	A1E1AB43		Rash	1	7	11	10	24	21	13	Grass	34	F	M	M	F	
123302	123319	34:15.03	0	8DB7A5EA		Bashful	0	8	5	4	29	5	16	Electric	30	M	M	M	M	
123303	123356	34:15.05	0	F76D1160		Quirky	0	31	23	5	17	25	28	Ice	31	F	M	M	F	
123304	123315	34:15.06	1	499A570D		Sassy	1	9	29	20	18	3	2	Fire	65	F	F	F	F	
